--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:53:53 2023
--------------------------------------------------------------------------------
{'name': 'nvcontainer.exe', 'pid': 5412, 'username': None, 'vms': 12.390625}
{'name': 'WEBPROT2.EXE', 'pid': 5420, 'username': None, 'vms': 6.6953125}
{'name': 'RuntimeBroker.exe', 'pid': 5436, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.5546875}
{'name': 'RtkAudUService64.exe', 'pid': 5444, 'username': None, 'vms': 5.23046875}
{'name': 'NPProt.exe', 'pid': 5460, 'username': None, 'vms': 1.11328125}
{'name': 'NPHOST.EXE', 'pid': 5468, 'username': None, 'vms': 6.04296875}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 5476, 'username': None, 'vms': 37.80859375}
{'name': 'mysqld.exe', 'pid': 5512, 'username': None, 'vms': 32.7734375}
{'name': 'svchost.exe', 'pid': 5520, 'username': None, 'vms': 1.22265625}
{'name': 'AWCC.Service.exe', 'pid': 5528, 'username': None, 'vms': 50.64453125}
{'name': 'svchost.exe', 'pid': 5568, 'username': None, 'vms': 4.23046875}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 5620, 'username': None, 'vms': 33.85546875}
{'name': 'MsMpEng.exe', 'pid': 5688, 'username': None, 'vms': 368.20703125}
{'name': 'svchost.exe', 'pid': 5736, 'username': None, 'vms': 4.4453125}
{'name': 'WMIRegistrationService.exe', 'pid': 5744, 'username': None, 'vms': 2.734375}
{'name': 'ctfmon.exe', 'pid': 5812, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 5.98046875}
{'name': 'msedge.exe', 'pid': 5876, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 11.85546875}
{'name': 'svchost.exe', 'pid': 5900, 'username': None, 'vms': 3.48046875}
{'name': 'NVIDIA Web Helper.exe', 'pid': 6152, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 38.0390625}
{'name': 'svchost.exe', 'pid': 6228, 'username': None, 'vms': 1.68359375}
{'name': 'mysqld.exe', 'pid': 6320, 'username': None, 'vms': 577.16015625}
{'name': 'conhost.exe', 'pid': 6396, 'username': None, 'vms': 5.51953125}
{'name': 'audiodg.exe', 'pid': 6444, 'username': None, 'vms': 19.33203125}
{'name': 'svchost.exe', 'pid': 6544, 'username': None, 'vms': 2.85546875}
{'name': 'awscns.exe', 'pid': 6760, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 41.78125}
{'name': 'AggregatorHost.exe', 'pid': 6804, 'username': None, 'vms': 2.28515625}
{'name': 'svchost.exe', 'pid': 6848, 'username': None, 'vms': 2.3125}
{'name': 'WmiPrvSE.exe', 'pid': 6948, 'username': None, 'vms': 19.5859375}
{'name': 'svchost.exe', 'pid': 6968, 'username': None, 'vms': 2.125}
{'name': 'svchost.exe', 'pid': 7220, 'username': None, 'vms': 1.71484375}
{'name': 'chrome.exe', 'pid': 7252, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 35.265625}
{'name': 'ZVCMD64.EXE', 'pid': 7692, 'username': None, 'vms': 0.62890625}
{'name': 'uTorrent.exe', 'pid': 7956, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 16.33203125}
{'name': 'svchost.exe', 'pid': 8012, 'username': None, 'vms': 10.30078125}
{'name': 'WmiPrvSE.exe', 'pid': 8076, 'username': None, 'vms': 8.171875}
{'name': 'python3.10.exe', 'pid': 8100, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 13.39453125}
{'name': 'nvcontainer.exe', 'pid': 8120, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 42.296875}
{'name': 'DellSupportAssistRemedationService.exe', 'pid': 8160, 'username': None, 'vms': 77.109375}
{'name': 'NisSrv.exe', 'pid': 8300, 'username': None, 'vms': 3.80859375}
{'name': 'svchost.exe', 'pid': 8508, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 8.625}
{'name': 'svchost.exe', 'pid': 8828, 'username': None, 'vms': 1.6171875}
{'name': 'LocationNotificationWindows.exe', 'pid': 8844, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.5859375}
{'name': 'svchost.exe', 'pid': 8864, 'username': None, 'vms': 3.8515625}
{'name': 'chrome.exe', 'pid': 9236, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 12.80859375}
{'name': 'svchost.exe', 'pid': 9268, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.28125}
{'name': 'PresentationFontCache.exe', 'pid': 9432, 'username': None, 'vms': 31.50390625}
{'name': 'msedge.exe', 'pid': 9468, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 46.703125}
{'name': 'fontdrvhost.exe', 'pid': 9492, 'username': None, 'vms': 2.42578125}
{'name': 'msedgewebview2.exe', 'pid': 9536, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 9.49609375}
{'name': 'svchost.exe', 'pid': 9568, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.078125}
{'name': 'svchost.exe', 'pid': 9684, 'username': None, 'vms': 4.55078125}
{'name': 'FusionService.exe', 'pid': 9816, 'username': None, 'vms': 39.46484375}
{'name': 'RiotClientCrashHandler.exe', 'pid': 9928, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.57421875}
{'name': 'svchost.exe', 'pid': 10204, 'username': None, 'vms': 5.9609375}
{'name': 'svchost.exe', 'pid': 10724, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 5.61328125}
{'name': 'chrome.exe', 'pid': 10728, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 23.03125}
{'name': 'svchost.exe', 'pid': 10752, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.96875}
