--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 13:59:45 2023
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'Widgets.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12620, 'vms': 10.40234375}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 12704, 'vms': 2.2421875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12796, 'vms': 15.68359375}
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12972, 'vms': 12.3046875}
{'name': 'DDVRulesProcessor.exe', 'username': None, 'pid': 12988, 'vms': 18.22265625}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 12992, 'vms': 62.25390625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13080, 'vms': 4.49609375}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13136, 'vms': 3.01171875}
{'name': 'EpicGamesLauncher.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13304, 'vms': 192.80859375}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13468, 'vms': 36.53515625}
{'name': 'AWCC.Background.Server.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13496, 'vms': 37.6171875}
{'name': 'OCControl.Service.exe', 'username': None, 'pid': 13572, 'vms': 105.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 13616, 'vms': 2.46484375}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13700, 'vms': 1.55078125}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13752, 'vms': 135.890625}
{'name': 'LocationNotificationWindows.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13760, 'vms': 1.85546875}
{'name': 'ctfmon.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13800, 'vms': 7.19921875}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 13916, 'vms': 32.3359375}
{'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14288, 'vms': 2.02734375}
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14432, 'vms': 52.0703125}
{'name': 'svchost.exe', 'username': None, 'pid': 14444, 'vms': 2.8203125}
{'name': 'EpicWebHelper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14500, 'vms': 35.7265625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14528, 'vms': 5.28515625}
{'name': 'utorrentie.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14604, 'vms': 2.83203125}
{'name': 'WidgetService.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14684, 'vms': 4.625}
{'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14852, 'vms': 16.49609375}
{'name': 'svchost.exe', 'username': None, 'pid': 14876, 'vms': 2.65625}
{'name': 'uTorrent.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 14952, 'vms': 19.5625}
{'name': 'ServiceShell.exe', 'username': None, 'pid': 15012, 'vms': 62.203125}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15028, 'vms': 59.19140625}
{'name': 'mcafee-security.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15096, 'vms': 56.41015625}
{'name': 'utorrentie.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15296, 'vms': 3.90234375}
{'name': 'EpicWebHelper.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15368, 'vms': 66.79296875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15448, 'vms': 35.5390625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15516, 'vms': 2.15625}
{'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15796, 'vms': 1.26171875}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15852, 'vms': 33.9921875}
{'name': 'TextInputHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15976, 'vms': 73.7734375}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 15984, 'vms': 77.34765625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16064, 'vms': 10.65625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16092, 'vms': 7.55859375}
{'name': 'XtuService.exe', 'username': None, 'pid': 16120, 'vms': 88.86328125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16292, 'vms': 18.890625}
{'name': 'awscns.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16420, 'vms': 41.7421875}
{'name': 'RiotClientCrashHandler.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16632, 'vms': 1.6875}
{'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16760, 'vms': 45.9921875}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16772, 'vms': 94.93359375}
{'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16824, 'vms': 2.12109375}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 16988, 'vms': 55.58203125}
{'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17052, 'vms': 56.125}
{'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17068, 'vms': 11.09765625}
{'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17104, 'vms': 6.73828125}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17328, 'vms': 17.2265625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17504, 'vms': 8.8203125}
{'name': 'Dell.D3.WinSvc.exe', 'username': None, 'pid': 17536, 'vms': 111.58203125}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17816, 'vms': 210.67578125}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17840, 'vms': 14.30078125}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 17908, 'vms': 20.7734375}
{'name': 'svchost.exe', 'username': None, 'pid': 18188, 'vms': 2.1328125}
{'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'pid': 18344, 'vms': 30.01953125}
