--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:59:27 2023
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 14220, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 54.7890625}
{'pid': 14256, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 95.69921875}
{'pid': 14384, 'name': 'taskhostw.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 7.390625}
{'pid': 14444, 'name': 'svchost.exe', 'username': None, 'vms': 7.23828125}
{'pid': 14556, 'name': 'sihost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.12890625}
{'pid': 14588, 'name': 'RtkAudUService64.exe', 'username': None, 'vms': 2.734375}
{'pid': 14628, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 27.2890625}
{'pid': 14876, 'name': 'svchost.exe', 'username': None, 'vms': 2.703125}
{'pid': 14912, 'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.2109375}
{'pid': 15012, 'name': 'ServiceShell.exe', 'username': None, 'vms': 62.0}
{'pid': 15284, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 182.09765625}
{'pid': 15348, 'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.0234375}
{'pid': 15388, 'name': 'Widgets.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 9.20703125}
{'pid': 15472, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.13671875}
{'pid': 15736, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 33.03125}
{'pid': 15844, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 16.9453125}
{'pid': 15848, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 9.99609375}
